,bonusPointsEarned,bonusPointsEarnedReason,pointsEarned,purchasedItemCount,rewardsReceiptStatus,totalSpent,user_id,receipt_id,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,purchaseDate
0,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,5.0,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000575,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:36.000000000,2021-01-03 15:25:31.000000000,2021-01-03 00:00:00.000000000
1,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,2.0,FINISHED,11.0,5ff1e194b6a9d73a3a9f1052,5ff1e1bb0a720f052300056b,2021-01-03 15:24:43.000000000,2021-01-03 15:24:43.000000000,2021-01-03 15:24:43.000000000,2021-01-03 15:24:48.000000000,2021-01-03 15:24:43.000000000,2021-01-02 15:24:43.000000000
2,5.0,All-receipts receipt bonus,5.0,1.0,REJECTED,10.0,5ff1e1f1cfcf6c399c274b0b,5ff1e1f10a720f052300057a,2021-01-03 15:25:37.000000000,2021-01-03 15:25:37.000000000,,2021-01-03 15:25:42.000000000,,2021-01-03 00:00:00.000000000
3,5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,28.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada100056f,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:39.000000000,2021-01-03 15:25:34.000000000,2021-01-03 00:00:00.000000000
4,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1d20a7214ada1000561,2021-01-03 15:25:06.000000000,2021-01-03 15:25:06.000000000,2021-01-03 15:25:11.000000000,2021-01-03 15:25:11.000000000,2021-01-03 15:25:06.000000000,2021-01-02 15:25:06.000000000
5,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,5ff1e1e40a7214ada1000566,2021-01-03 15:25:24.000000000,2021-01-03 15:25:24.000000000,2021-01-03 15:25:25.000000000,2021-01-03 15:25:30.000000000,2021-01-03 15:25:25.000000000,2021-01-02 15:25:24.000000000
6,5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,5ff1e1cd0a720f052300056f,2021-01-03 15:25:01.000000000,2021-01-03 15:25:01.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:25:01.000000000
7,500.0,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,1.0,FINISHED,10.0,5ff1e194b6a9d73a3a9f1052,5ff1e1a40a720f0523000569,2021-01-03 15:24:20.000000000,2021-01-03 15:24:20.000000000,2021-01-03 15:24:21.000000000,2021-01-03 15:24:21.000000000,2021-01-03 15:24:21.000000000,2020-12-27 00:00:00.000000000
8,5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ed0a7214ada100056e,2021-01-03 15:25:33.000000000,2021-01-03 15:25:33.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:38.000000000,2021-01-03 15:25:34.000000000,2021-01-03 00:00:00.000000000
9,250.0,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250.0,3.0,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a7214ada100056b,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:36.000000000,2021-01-03 15:25:31.000000000,2021-01-03 00:00:00.000000000
10,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100.0,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1c50a720f052300056c,2021-01-03 15:24:53.000000000,2021-01-03 15:24:53.000000000,2021-01-03 15:24:53.000000000,2021-01-03 15:24:53.000000000,2021-01-03 15:24:53.000000000,2021-01-02 15:24:53.000000000
11,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,5.0,FINISHED,50.0,5ff1e194b6a9d73a3a9f1052,5ff1e1a10a720f0523000568,2021-01-03 15:24:17.000000000,2021-01-03 15:24:17.000000000,2021-01-03 15:39:20.000000000,2021-01-03 15:39:20.000000000,2021-01-03 15:24:19.000000000,2021-01-02 00:00:00.000000000
12,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,10.0,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,5ff1e1b60a7214ada100055c,2021-01-03 15:24:38.000000000,2021-01-03 15:24:38.000000000,,2021-01-03 15:24:38.000000000,,2021-02-03 15:24:38.000000000
13,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,11.0,REJECTED,1.0,5f9c74f7c88c1415cbddb839,5f9c74f70a7214ad07000037,2020-10-30 20:17:59.000000000,2020-10-30 20:17:59.000000000,,2021-01-03 15:24:54.000000000,2020-10-30 20:18:00.000000000,2020-10-29 20:17:59.000000000
14,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300.0,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1b20a7214ada100055a,2021-01-03 15:24:34.000000000,2021-01-03 15:24:34.000000000,2021-01-03 15:24:35.000000000,2021-01-03 15:24:35.000000000,2021-01-03 15:24:35.000000000,2021-02-03 15:24:35.000000000
15,,,,0.0,FLAGGED,0.0,5ff1e1e9b6a9d73a3a9f10f6,5ff1e1e90a7214ada1000569,2021-01-03 15:25:29.000000000,2021-01-03 15:25:29.000000000,,2021-01-03 15:25:29.000000000,,
16,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,2.0,FINISHED,11.0,5ff1e1dfcfcf6c399c274ab3,5ff1e1df0a7214ada1000564,2021-01-03 15:25:19.000000000,2021-01-03 15:25:19.000000000,2021-01-03 15:25:20.000000000,2021-01-03 15:25:25.000000000,2021-01-03 15:25:19.000000000,2021-01-02 15:25:19.000000000
17,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FLAGGED,1.0,5ff1e1b4cfcf6c399c274a54,5ff1e1b40a7214ada100055b,2021-01-03 15:24:36.000000000,2021-01-03 15:24:36.000000000,,2021-01-03 15:24:37.000000000,2021-01-03 15:24:36.000000000,2021-01-02 15:24:36.000000000
18,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300.0,2.0,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6,5ff1e1eb0a720f0523000576,2021-01-03 15:25:31.000000000,2021-01-03 15:25:31.000000000,2021-01-03 15:25:32.000000000,2021-01-03 15:25:36.000000000,2021-01-03 15:25:32.000000000,2021-01-03 00:00:00.000000000
19,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1c80a720f052300056d,2021-01-03 15:24:56.000000000,2021-01-03 15:24:56.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:25:02.000000000,2021-01-03 15:24:56.000000000,2021-01-02 15:24:56.000000000
20,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6.0,FINISHED,14.0,5f9c74e3f1937815bd2c1d73,5f9c74f90a7214ad07000038,2020-10-30 20:18:01.000000000,2020-10-30 20:18:01.000000000,2021-01-03 15:39:55.000000000,2021-01-03 15:39:55.000000000,2021-01-03 15:39:55.000000000,2020-10-29 20:18:01.000000000
21,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.0,FINISHED,1.0,5ff1e196cfcf6c399c274a38,5ff1e1960a720f0523000567,2021-01-03 15:24:06.000000000,2021-01-03 15:24:06.000000000,2021-01-03 15:24:10.000000000,2021-01-03 15:24:10.000000000,2021-01-03 15:24:10.000000000,2021-01-02 15:24:06.000000000
22,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,2.0,FINISHED,21.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ec0a7214ada100056c,2021-01-03 15:25:32.000000000,2021-01-03 15:25:32.000000000,2021-01-03 15:25:32.000000000,2021-01-03 15:25:37.000000000,2021-01-03 15:25:32.000000000,2021-01-03 00:00:00.000000000
23,40.0,COMPLETE_PARTNER_RECEIPT,185.0,2.0,FINISHED,2.0,5ff1e194b6a9d73a3a9f1052,5ff1e1d70a720f0523000571,2021-01-03 15:25:11.000000000,2021-01-03 15:25:11.000000000,2021-01-03 15:25:12.000000000,2021-01-03 15:25:12.000000000,2021-01-03 15:25:12.000000000,2021-01-02 15:25:11.000000000
24,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1c60a7214ada100055e,2021-01-03 15:24:54.000000000,2021-01-03 15:24:54.000000000,2021-01-03 15:24:59.000000000,2021-01-03 15:24:59.000000000,2021-01-03 15:24:54.000000000,2021-01-02 15:24:54.000000000
25,5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,27.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a7214ada1000570,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:35.000000000,2021-01-03 15:25:40.000000000,2021-01-03 15:25:35.000000000,2021-01-03 00:00:00.000000000
26,5.0,All-receipts receipt bonus,5.0,2.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1cf0a720f0523000570,2021-01-03 15:25:03.000000000,2021-01-03 15:25:03.000000000,2021-01-03 15:25:09.000000000,2021-01-03 15:25:09.000000000,2021-01-03 15:25:03.000000000,2021-01-02 15:25:03.000000000
27,25.0,COMPLETE_NONPARTNER_RECEIPT,35.0,1.0,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,5ff1e1e10a720f0523000572,2021-01-03 15:25:21.000000000,2021-01-03 15:25:21.000000000,2021-01-03 15:25:21.000000000,2021-01-03 15:25:26.000000000,2021-01-03 15:25:21.000000000,2021-01-02 15:25:21.000000000
28,,,,3.0,REJECTED,3.0,5ff1e194b6a9d73a3a9f1052,5ff1e1d40a7214ada1000562,2021-01-03 15:25:08.000000000,2021-01-03 15:25:08.000000000,,2021-01-03 15:25:08.000000000,,2017-10-30 00:00:00.000000000
29,5.0,All-receipts receipt bonus,5.0,4.0,FINISHED,27.0,5ff1e1eacfcf6c399c274ae6,5ff1e1ee0a720f0523000578,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:34.000000000,2021-01-03 15:25:39.000000000,2021-01-03 15:25:34.000000000,2021-01-03 00:00:00.000000000
30,300.0,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",650.0,10.0,FINISHED,10.0,5ff370c562fde912123a5e0e,5ff371030a7214ada10005a5,2021-01-04 19:48:19.000000000,2021-01-04 19:48:19.000000000,2021-01-04 19:48:20.000000000,2021-01-04 19:48:20.000000000,2021-01-04 19:48:20.000000000,2020-12-20 00:00:00.000000000
31,5.0,All-receipts receipt bonus,55.0,1.0,FINISHED,0.99,5ff36d0362fde912123a5535,5ff36dcc0a720f05230005b1,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000,2021-01-04 19:34:36.000000000
32,,,500.0,9.0,FINISHED,89.91,5ff36be7135e7011bcb856d3,5ff36c750a7214ada100058f,2021-01-04 19:28:53.000000000,2021-01-04 19:28:53.000000000,2021-01-04 19:28:54.000000000,2021-01-04 19:28:54.000000000,2021-01-04 19:28:54.000000000,2021-01-03 19:28:53.000000000
33,45.0,COMPLETE_PARTNER_RECEIPT,50.0,1.0,FINISHED,1.0,54943462e4b07e684157a532,5ff36d860a720f05230005a7,2021-01-04 19:33:26.000000000,2021-01-04 19:33:26.000000000,2021-01-04 19:33:26.000000000,2021-01-04 19:33:26.000000000,2021-01-04 19:33:26.000000000,2021-01-03 19:33:26.000000000
34,45.0,COMPLETE_PARTNER_RECEIPT,50.0,1.0,FINISHED,1.0,5ff36d0362fde912123a5535,5ff36d9f0a720f05230005ab,2021-01-04 19:33:51.000000000,2021-01-04 19:33:51.000000000,2021-01-04 19:33:51.000000000,2021-01-04 19:33:51.000000000,2021-01-04 19:33:51.000000000,2020-12-19 19:33:51.000000000
35,,,250.0,5.0,FINISHED,49.95,5ff36a3862fde912123a4460,5ff36adb0a720f0523000590,2021-01-04 19:22:03.000000000,2021-01-04 19:22:03.000000000,2021-01-04 19:22:04.000000000,2021-01-04 19:22:04.000000000,2021-01-04 19:22:04.000000000,2020-12-30 06:00:00.000000000
36,5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,1.0,5ff36d0362fde912123a5535,5ff36da00a7214ada100059b,2021-01-04 19:33:52.000000000,2021-01-04 19:33:52.000000000,2021-01-04 19:33:52.000000000,2021-01-04 19:33:52.000000000,2021-01-04 19:33:52.000000000,2021-01-03 19:33:52.000000000
37,5.0,All-receipts receipt bonus,355.0,9.0,FINISHED,89.91,5ff36d0362fde912123a5535,5ff36dc40a7214ada100059f,2021-01-04 19:34:28.000000000,2021-01-04 19:34:28.000000000,2021-01-04 19:34:28.000000000,2021-01-04 19:34:28.000000000,2021-01-04 19:34:28.000000000,2021-01-03 19:34:28.000000000
38,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",600.0,9.0,FINISHED,89.91,5ff370c562fde912123a5e0e,5ff3710b0a7214ada10005a7,2021-01-04 19:48:27.000000000,2021-01-04 19:48:27.000000000,2021-01-04 19:48:28.000000000,2021-01-04 19:48:28.000000000,2021-01-04 19:48:28.000000000,2021-01-03 19:48:27.000000000
39,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",1750.0,1.0,FINISHED,10.0,5ff36d78135e7011bcb86488,5ff36d780a7214ada1000593,2021-01-04 19:33:12.000000000,2021-01-04 19:33:12.000000000,2021-01-04 19:33:14.000000000,2021-01-04 19:33:14.000000000,2021-01-04 19:33:14.000000000,2021-01-04 19:33:12.000000000
40,45.0,COMPLETE_PARTNER_RECEIPT,350.0,1.0,FINISHED,1.0,5ff370c562fde912123a5e0e,5ff371410a7214ada10005ba,2021-01-04 19:49:21.000000000,2021-01-04 19:49:21.000000000,2021-01-04 19:49:21.000000000,2021-01-04 19:49:21.000000000,2021-01-04 19:49:21.000000000,2021-01-03 19:49:21.000000000
41,5.0,All-receipts receipt bonus,5.0,1.0,FINISHED,1.0,54943462e4b07e684157a532,5ff36c8b0a720f05230005a1,2021-01-04 19:29:15.000000000,2021-01-04 19:29:15.000000000,2021-01-04 19:29:17.000000000,2021-01-04 19:29:17.000000000,2021-01-04 19:29:17.000000000,2021-01-03 19:29:15.000000000
42,750.0,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,5.0,FINISHED,25.0,5ff36be7135e7011bcb856d3,5ff36c550a7214ada1000588,2021-01-04 19:28:21.000000000,2021-01-04 19:28:21.000000000,2021-01-04 19:28:21.000000000,2021-01-04 19:28:21.000000000,2021-01-04 19:28:21.000000000,2021-01-01 06:00:00.000000000
43,5.0,All-receipts receipt bonus,55.0,9.0,FINISHED,89.91,5ff36a3862fde912123a4460,5ff36acb0a720f052300058d,2021-01-04 19:21:47.000000000,2021-01-04 19:21:47.000000000,2021-01-04 19:21:48.000000000,2021-01-04 19:21:48.000000000,2021-01-04 19:21:48.000000000,2021-01-03 19:21:47.000000000
44,5.0,All-receipts receipt bonus,5.0,5.0,FINISHED,49.95,5ff370c562fde912123a5e0e,5ff371450a7214ada10005bd,2021-01-04 19:49:25.000000000,2021-01-04 19:49:25.000000000,2021-01-04 19:49:26.000000000,2021-01-04 19:49:26.000000000,2021-01-04 19:49:26.000000000,2020-12-24 06:00:00.000000000
45,100.0,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",225.0,5.0,FINISHED,25.0,5ff36d0362fde912123a5535,5ff36d9d0a720f05230005aa,2021-01-04 19:33:49.000000000,2021-01-04 19:33:49.000000000,2021-01-04 19:33:49.000000000,2021-01-04 19:33:49.000000000,2021-01-04 19:33:49.000000000,2021-01-01 06:00:00.000000000
46,150.0,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",275.0,5.0,FINISHED,25.0,5ff36be7135e7011bcb856d3,5ff36c590a7214ada1000589,2021-01-04 19:28:25.000000000,2021-01-04 19:28:25.000000000,2021-01-04 19:28:25.000000000,2021-01-04 19:28:25.000000000,2021-01-04 19:28:25.000000000,2020-12-30 06:00:00.000000000
